Frequency,M180072-003 XY,M180072-003 Z,M180072-004 X,M180072-004 Y,M180072-004 Z
/Hz,,,,,
20,0.050,0.020,0.050,0.050,0.020
45,13.500,,,,
60,,0.030,,,0.030
61,13.500,,,13.500,
67,7.000,,7.000,,
91,7.000,,7.000,,
95,,,,0.450,
115,,,,,5.000
130,0.400,,0.400,,
136,,17.000,,,
150,,,,0.450,
160,0.400,,0.400,,
170,,,,0.700,
184,,17.000,,,
200,2.250,,2.250,,5.000
220,,,,0.700,
235,,2.500,,,
240,,,,,2.500
255,2.250,,2.250,,
290,,,,0.080,
345,,2.500,,,2.500
470,,,,0.080,
620,,0.040,,,0.040
700,,,,0.040,
2000,0.013,0.013,0.013,0.013,0.013
